,cluster 0,z-score 0,cluster 1,z-score 1,cluster 2,z-score 2,cluster 3,z-score 3,cluster 4,z-score 4,cluster 5,z-score 5,cluster 6,z-score 6,cluster 7,z-score 7
0,value_TAF1,8.663543534467284,value_CDYL,0.578228526684543,value_BRD3,0.08672972620985221,value_GFP,0.39317682954139466,value_GTF3C5,3.5044842267055016,value_RAD21,3.5287035157101547,value_H4K12ac,0.43796681751133765,value_KAT2A,0.1675039955186019
1,value_NEUROD1,6.963115194781726,value_PSIP1,0.5681781115063004,value_ZNF92,0.04109083945617369,value_BMI1,0.12939537201661938,value_ATF3,2.413516823640769,value_SMC1A,2.816426396987962,value_CTCFL,0.1421460615110788,value_ASCL1,0.1493291024704803
2,value_RNA_polymerase_II,6.777812832803663,value_H3K27me2,0.3170902814247449,value_SATB1,0.028467094781017322,value_H3K9me1,0.04688312411677742,value_GTF3C2,1.5519259027549426,value_STAG2,2.4095901872791496,value_CTCF,0.12005964369942046,value_H3K9me1,0.14874773475471034
3,value_H3K9ac,6.286687324304964,value_SOX3,0.23910618830592337,value_CHAT,0.023597172805098186,value_MCM3,0.03240145252982784,value_TEAD4,1.3720036526511177,value_STAG1,2.0494269235056533,value_POU3F2,0.11594405766660636,value_ATRX,0.1202526530749397
4,value_SMARCC2,6.005066214145417,value_H3K36me2,0.12197717688639956,value_MECP2,0.011535418289158049,value_HDAC1,0.031690994353019405,value_DYRK1A,1.3557398405172505,value_SMC3,1.9272345372677149,value_TBX2,0.05403112856599524,value_MCM3,0.0936731565963911
5,value_H3K4me3,5.915565103808321,value_REST,0.11788980408044031,value_SOX2,0.007440383641715326,value_H3K4me,0.02637279679596657,value_RBPJ,1.3294518871999033,value_PDS5A,1.620930144443277,value_ATRX,0.031315831838241985,value_H3K4me,0.08452411728669386
6,value_H3K9K14ac,5.7888924095423295,value_H3R8me2,0.11405712370725542,value_TEAD1,0.0072070324769976865,value_SOX2,0.011185254811686376,value_ACSS2,0.954376618208981,value_CTCF,1.2006810185722672,value_AFF1,0.02056590977606666,value_HAND2,0.07814009661234532
7,value_BRD2,5.665996183369684,value_ISL1,0.0950247713870983,value_SMCHD1,0.0026697932688019115,value_H2AK119ub,0.010731193605655047,value_FOSL2,0.7003867480724085,value_H4K12ac,0.9554056928237284,value_PARK7,0.0,value_H2AK119ub,0.0739929613316786
8,value_H2A.Z,5.512002427336801,value_HDGF2,0.09273586212243173,value_RB1,0.0,value_H3K9me2,0.009696560422148894,value_NRF1,0.4161655608080837,value_CTCFL,0.4665211031768208,value_MAML3,0.0,value_H3K27M,0.07354249665654128
9,value_CHD8,5.4331390315109775,value_SMARCA4,0.08945083504223562,value_CDK9,0.0,value_H3K27M,0.005175055397625923,value_KAT2A,0.4010177404333899,value_AFF1,0.3537109421352407,value_MYB,0.0,value_H3K27me1,0.06580235895174912
