"seqnames","start","end","width","strand","source","type","score","phase","gene_id","gene_type","gene_name","level","tag","transcript_id","transcript_type","transcript_name","exon_number","exon_id","hgnc_id","havana_gene","transcript_support_level","ont","havana_transcript","protein_id","ccdsid","artif_dupl","is_tf"
"chr1",18630846,18748866,118021,"+","HAVANA","gene",NA,NA,"ENSG00000009709.13","protein_coding","PAX7","2",NA,NA,NA,NA,NA,NA,"HGNC:8621","OTTHUMG00000002433.3",NA,NA,NA,NA,NA,NA,TRUE
"chr1",24899511,24965121,65611,"-","HAVANA","gene",NA,NA,"ENSG00000020633.19","protein_coding","RUNX3","2","ncRNA_host",NA,NA,NA,NA,NA,"HGNC:10473","OTTHUMG00000003316.1",NA,NA,NA,NA,NA,NA,TRUE
"chr1",46489836,46516216,26381,"+","HAVANA","gene",NA,NA,"ENSG00000197587.12","protein_coding","DMBX1","2",NA,NA,NA,NA,NA,NA,"HGNC:19026","OTTHUMG00000007982.3",NA,NA,NA,NA,NA,NA,TRUE
"chr1",47216290,47232225,15936,"-","HAVANA","gene",NA,NA,"ENSG00000162367.12","protein_coding","TAL1","2",NA,NA,NA,NA,NA,NA,"HGNC:11556","OTTHUMG00000007847.3",NA,NA,NA,NA,NA,NA,TRUE
"chr1",47438044,47440691,2648,"+","HAVANA","gene",NA,NA,"ENSG00000186564.6","protein_coding","FOXD2","2",NA,NA,NA,NA,NA,NA,"HGNC:3803","OTTHUMG00000007950.1",NA,NA,NA,NA,NA,NA,TRUE
"chr1",50417550,50423443,5894,"-","HAVANA","gene",NA,NA,"ENSG00000142700.12","protein_coding","DMRTA2","2",NA,NA,NA,NA,NA,NA,"HGNC:13908","OTTHUMG00000007884.4",NA,NA,NA,NA,NA,NA,TRUE
"chr1",63322567,63325128,2562,"+","HAVANA","gene",NA,NA,"ENSG00000187140.6","protein_coding","FOXD3","2",NA,NA,NA,NA,NA,NA,"HGNC:3804","OTTHUMG00000009141.2",NA,NA,NA,NA,NA,NA,TRUE
"chr1",75128434,75161533,33100,"+","HAVANA","gene",NA,NA,"ENSG00000162624.16","protein_coding","LHX8","2",NA,NA,NA,NA,NA,NA,"HGNC:28838","OTTHUMG00000009692.3",NA,NA,NA,NA,NA,NA,TRUE
"chr1",92473043,92486925,13883,"-","HAVANA","gene",NA,NA,"ENSG00000162676.13","protein_coding","GFI1","2",NA,NA,NA,NA,NA,NA,"HGNC:4237","OTTHUMG00000010897.2",NA,NA,NA,NA,NA,NA,TRUE
"chr1",118883046,118989556,106511,"-","HAVANA","gene",NA,NA,"ENSG00000092607.15","protein_coding","TBX15","2",NA,NA,NA,NA,NA,NA,"HGNC:11594","OTTHUMG00000012263.4",NA,NA,NA,NA,NA,NA,TRUE
"chr1",165201867,165356715,154849,"-","HAVANA","gene",NA,NA,"ENSG00000162761.14","protein_coding","LMX1A","2",NA,NA,NA,NA,NA,NA,"HGNC:6653","OTTHUMG00000034575.3",NA,NA,NA,NA,NA,NA,TRUE
