"chrom","ss_start","ss_end","width","strand_structure","prom_seqnames","strand_promoter","prom_start","prom_end","anchor_seqnames","anchor_start","anchor_end","transcript_id","gene_name"
"chr1",18630101,18630161,60,"+","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000420770.7","PAX7"
"chr1",18630496,18630537,41,"+","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000420770.7","PAX7"
"chr1",18630981,18631023,42,"+","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000420770.7","PAX7"
"chr1",18631736,18631777,41,"+","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000420770.7","PAX7"
"chr1",18630101,18630161,60,"+","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000713640.1","PAX7"
"chr1",18630496,18630537,41,"+","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000713640.1","PAX7"
"chr1",18630981,18631023,42,"+","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000713640.1","PAX7"
"chr1",18631736,18631777,41,"+","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000713640.1","PAX7"
"chr1",18630101,18630161,60,"+","chr1","+",18629006,18632005,"chr1",18630000,18640000,"ENST00000375375.7","PAX7"
"chr1",18630496,18630537,41,"+","chr1","+",18629006,18632005,"chr1",18630000,18640000,"ENST00000375375.7","PAX7"
"chr1",18630981,18631023,42,"+","chr1","+",18629006,18632005,"chr1",18630000,18640000,"ENST00000375375.7","PAX7"
"chr1",18631736,18631777,41,"+","chr1","+",18629006,18632005,"chr1",18630000,18640000,"ENST00000375375.7","PAX7"
"chr1",18630101,18630161,60,"+","chr1","+",18629524,18632523,"chr1",18630000,18640000,"ENST00000400661.3","PAX7"
"chr1",18630496,18630537,41,"+","chr1","+",18629524,18632523,"chr1",18630000,18640000,"ENST00000400661.3","PAX7"
"chr1",18630981,18631023,42,"+","chr1","+",18629524,18632523,"chr1",18630000,18640000,"ENST00000400661.3","PAX7"
"chr1",18631736,18631777,41,"+","chr1","+",18629524,18632523,"chr1",18630000,18640000,"ENST00000400661.3","PAX7"
"chr1",46489424,46489453,29,"+","chr1","+",46487836,46490835,"chr1",46480000,46490000,"ENST00000360032.4","DMBX1"
"chr1",46489490,46489515,25,"+","chr1","+",46487836,46490835,"chr1",46480000,46490000,"ENST00000360032.4","DMBX1"
"chr1",46489708,46489733,25,"+","chr1","+",46487836,46490835,"chr1",46480000,46490000,"ENST00000360032.4","DMBX1"
"chr1",46489860,46489901,41,"+","chr1","+",46487836,46490835,"chr1",46480000,46490000,"ENST00000360032.4","DMBX1"
"chr1",47436757,47436773,16,"+","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47437237,47437272,35,"+","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47437372,47437406,34,"+","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47437464,47437495,31,"+","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47437890,47437933,43,"+","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
