"chrom","ss_start","ss_end","width","strand_structure","prom_seqnames","strand_promoter","prom_start","prom_end","anchor_seqnames","anchor_start","anchor_end","transcript_id","gene_name"
"chr1",18629997,18630030,33,"-","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000420770.7","PAX7"
"chr1",18630573,18630599,26,"-","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000420770.7","PAX7"
"chr1",18630882,18630926,44,"-","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000420770.7","PAX7"
"chr1",18631217,18631255,38,"-","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000420770.7","PAX7"
"chr1",18629997,18630030,33,"-","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000713640.1","PAX7"
"chr1",18630573,18630599,26,"-","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000713640.1","PAX7"
"chr1",18630882,18630926,44,"-","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000713640.1","PAX7"
"chr1",18631217,18631255,38,"-","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000713640.1","PAX7"
"chr1",18629997,18630030,33,"-","chr1","+",18629006,18632005,"chr1",18630000,18640000,"ENST00000375375.7","PAX7"
"chr1",18630573,18630599,26,"-","chr1","+",18629006,18632005,"chr1",18630000,18640000,"ENST00000375375.7","PAX7"
"chr1",18630882,18630926,44,"-","chr1","+",18629006,18632005,"chr1",18630000,18640000,"ENST00000375375.7","PAX7"
"chr1",18631217,18631255,38,"-","chr1","+",18629006,18632005,"chr1",18630000,18640000,"ENST00000375375.7","PAX7"
"chr1",18629997,18630030,33,"-","chr1","+",18629524,18632523,"chr1",18630000,18640000,"ENST00000400661.3","PAX7"
"chr1",18630573,18630599,26,"-","chr1","+",18629524,18632523,"chr1",18630000,18640000,"ENST00000400661.3","PAX7"
"chr1",18630882,18630926,44,"-","chr1","+",18629524,18632523,"chr1",18630000,18640000,"ENST00000400661.3","PAX7"
"chr1",18631217,18631255,38,"-","chr1","+",18629524,18632523,"chr1",18630000,18640000,"ENST00000400661.3","PAX7"
"chr1",46488394,46488419,25,"-","chr1","+",46487836,46490835,"chr1",46480000,46490000,"ENST00000360032.4","DMBX1"
"chr1",46489205,46489223,18,"-","chr1","+",46487836,46490835,"chr1",46480000,46490000,"ENST00000360032.4","DMBX1"
"chr1",47432819,47432852,33,"-","chr1","+",47430585,47433584,"chr1",47430000,47440000,"ENST00000829019.1","ENSG00000307814"
"chr1",47433000,47433032,32,"-","chr1","+",47430585,47433584,"chr1",47430000,47440000,"ENST00000829019.1","ENSG00000307814"
"chr1",47433349,47433393,44,"-","chr1","+",47430585,47433584,"chr1",47430000,47440000,"ENST00000829019.1","ENSG00000307814"
"chr1",47432819,47432852,33,"-","chr1","+",47430621,47433620,"chr1",47430000,47440000,"ENST00000829018.1","ENSG00000307814"
"chr1",47433000,47433032,32,"-","chr1","+",47430621,47433620,"chr1",47430000,47440000,"ENST00000829018.1","ENSG00000307814"
"chr1",47433349,47433393,44,"-","chr1","+",47430621,47433620,"chr1",47430000,47440000,"ENST00000829018.1","ENSG00000307814"
"chr1",47436675,47436706,31,"-","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47437696,47437727,31,"-","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47437790,47437848,58,"-","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47437998,47438038,40,"-","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47438250,47438301,51,"-","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47438813,47438845,32,"-","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47438972,47439010,38,"-","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",50422688,50422719,31,"-","chr1","+",50421612,50424611,"chr1",50420000,50430000,"ENST00000754098.1","FAF1-AS1"
"chr1",50422841,50422888,47,"-","chr1","+",50421612,50424611,"chr1",50420000,50430000,"ENST00000754098.1","FAF1-AS1"
"chr1",50422913,50422941,28,"-","chr1","+",50421612,50424611,"chr1",50420000,50430000,"ENST00000754098.1","FAF1-AS1"
"chr1",50423009,50423036,27,"-","chr1","+",50421612,50424611,"chr1",50420000,50430000,"ENST00000754098.1","FAF1-AS1"
"chr1",50423193,50423237,44,"-","chr1","+",50421612,50424611,"chr1",50420000,50430000,"ENST00000754098.1","FAF1-AS1"
"chr1",50424252,50424283,31,"-","chr1","+",50421612,50424611,"chr1",50420000,50430000,"ENST00000754098.1","FAF1-AS1"
