"chrom","ss_start","ss_end","width","strand_structure","prom_seqnames","strand_promoter","prom_start","prom_end","anchor_seqnames","anchor_start","anchor_end","transcript_id","gene_name"
"chr1",18631588,18631604,16,"*","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000420770.7","PAX7"
"chr1",18631588,18631604,16,"*","chr1","+",18628846,18631845,"chr1",18630000,18640000,"ENST00000713640.1","PAX7"
"chr1",18631588,18631604,16,"*","chr1","+",18629006,18632005,"chr1",18630000,18640000,"ENST00000375375.7","PAX7"
"chr1",18631588,18631604,16,"*","chr1","+",18629524,18632523,"chr1",18630000,18640000,"ENST00000400661.3","PAX7"
"chr1",18632422,18632438,16,"*","chr1","+",18629524,18632523,"chr1",18630000,18640000,"ENST00000400661.3","PAX7"
"chr1",46488608,46488626,18,"*","chr1","+",46487836,46490835,"chr1",46480000,46490000,"ENST00000360032.4","DMBX1"
"chr1",46488947,46488968,21,"*","chr1","+",46487836,46490835,"chr1",46480000,46490000,"ENST00000360032.4","DMBX1"
"chr1",46489275,46489302,27,"*","chr1","+",46487836,46490835,"chr1",46480000,46490000,"ENST00000360032.4","DMBX1"
"chr1",46489386,46489419,33,"*","chr1","+",46487836,46490835,"chr1",46480000,46490000,"ENST00000360032.4","DMBX1"
"chr1",46489772,46489787,15,"*","chr1","+",46487836,46490835,"chr1",46480000,46490000,"ENST00000360032.4","DMBX1"
"chr1",47432771,47432788,17,"*","chr1","+",47430585,47433584,"chr1",47430000,47440000,"ENST00000829019.1","ENSG00000307814"
"chr1",47432771,47432788,17,"*","chr1","+",47430621,47433620,"chr1",47430000,47440000,"ENST00000829018.1","ENSG00000307814"
"chr1",47436600,47436616,16,"*","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47438030,47438050,20,"*","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",47438996,47439018,22,"*","chr1","+",47436044,47439043,"chr1",47430000,47440000,"ENST00000334793.6","FOXD2"
"chr1",50423146,50423163,17,"*","chr1","+",50421612,50424611,"chr1",50420000,50430000,"ENST00000754098.1","FAF1-AS1"
"chr1",50423377,50423399,22,"*","chr1","+",50421612,50424611,"chr1",50420000,50430000,"ENST00000754098.1","FAF1-AS1"
"chr1",50423551,50423569,18,"*","chr1","+",50421612,50424611,"chr1",50420000,50430000,"ENST00000754098.1","FAF1-AS1"
"chr1",50423710,50423725,15,"*","chr1","+",50421612,50424611,"chr1",50420000,50430000,"ENST00000754098.1","FAF1-AS1"
"chr1",50423146,50423163,17,"*","chr1","+",50421894,50424893,"chr1",50420000,50430000,"ENST00000686764.2","FAF1-AS1"
"chr1",50423377,50423399,22,"*","chr1","+",50421894,50424893,"chr1",50420000,50430000,"ENST00000686764.2","FAF1-AS1"
"chr1",50423551,50423569,18,"*","chr1","+",50421894,50424893,"chr1",50420000,50430000,"ENST00000686764.2","FAF1-AS1"
"chr1",50423710,50423725,15,"*","chr1","+",50421894,50424893,"chr1",50420000,50430000,"ENST00000686764.2","FAF1-AS1"
"chr1",63320338,63320358,20,"*","chr1","+",63317753,63320752,"chr1",63320000,63330000,"ENST00000811442.1","ENSG00000305514"
"chr1",63321375,63321382,7,"*","chr1","+",63320567,63323566,"chr1",63320000,63330000,"ENST00000371116.4","FOXD3"
"chr1",63321907,63321920,13,"*","chr1","+",63320567,63323566,"chr1",63320000,63330000,"ENST00000371116.4","FOXD3"
